product_name,description,Product ID,Product Type,Code,Price,Cost Price,Retail Price,selling_price,Calculated Price,Fixed Shipping Price,Free Shipping,Warranty,Weight,Width,Height,Depth,Allow Purchases,Product Visible,Product Availability,Product Inventoried,Stock Level,Low Stock Level,Date Added,Date Modified,Category Details,Images,Page Title,META Keywords,Product Condition,Product URL,Redirect Old URL?,Product Tax Code,Product Custom Fields,brand_id
"SWITCH, THERMAL OVERLOAD"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955699632</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                1.35 IN
                                              |  3.429 CM</div>
<div>
<span>Length:</span>
                                1.75 IN
                                              |  4.445 CM</div>
<div>
<span>Width:</span>
                                1.95 IN
                                              |  4.953 CM</div>
<div>
<span>Volume:</span>
                                .003 FT3
                                              |  0 M3</div>
<div>
<span>Shipping Weight:</span>
                                .08 LBS
                                             | .03 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,16Y809,$211.00 USD,0,0,$126.60 USD,$126.60 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"SWITCH, THERMAL OVERLOAD","SWITCH, THERMAL OVERLOAD",New,,,,,2
"FITTING, BULKHD 1/2 NPTM X 8 JICM"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955222571</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Country of Origin:</span>
                             CN</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                1 IN
                                              |  2.540 CM</div>
<div>
<span>Length:</span>
                                1.1 IN
                                              |  2.794 CM</div>
<div>
<span>Width:</span>
                                2.65 IN
                                              |  6.731 CM</div>
<div>
<span>Volume:</span>
                                .002 FT3
                                              |  0.000 M3</div>
<div>
<span>Shipping Weight:</span>
                                .27 LBS
                                             | 0.122 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
<div class=""g-classification-block"">
<h2 class=""h5 block-title"">
                            Technical Specifications</h2>
<table class=""specification-list-table table table--convertible table-striped"" id=""table-convertible"">
<tbody>
<tr>
<th class=""list-"" scope=""row"">Connection Type</th>
<td class=""text-align--right"">
<span><strong>Threaded</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Size A (in)</th>
<td class=""text-align--right"">
<span><strong>1/2</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Size A (mm)</th>
<td class=""text-align--right"">
<span><strong>12.7</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">System of Measurement</th>
<td class=""text-align--right"">
<span><strong>Imperial</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Thread Type</th>
<td class=""text-align--right"">
<span><strong>NPT, JIC</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Type</th>
<td class=""text-align--right"">
<span><strong>Adapter</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Thread Gender</th>
<td class=""text-align--right"">
<span><strong>Male</strong></span>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>
</div>",,,16W611,$22.80 USD,0,0,$13.68 USD,$13.68 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"FITTING, BULKHD 1/2 NPTM X 8 JICM","FITTING, BULKHD 1/2 NPTM X 8 JICM",New,,,,,2
"KIT, ASSEMBLY, PAIR, INLET"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955171060</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                15.875 CM
                                              |  6.25 IN</div>
<div>
<span>Length:</span>
                                14.25 IN
                                              |  36.195 CM</div>
<div>
<span>Width:</span>
                                14 IN
                                              |  35.56 CM</div>
<div>
<span>Volume:</span>
                                .02 M3
                                              |  .721 FT3</div>
<div>
<span>Shipping Weight:</span>
                                11.15 LBS
                                             | 5.06 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,24T871,"$1,980.00 USD",0,0,"$1,188.00 USD","$1,188.00 USD",0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"KIT, ASSEMBLY, PAIR, INLET","KIT, ASSEMBLY, PAIR, INLET",New,,,,,2
"HARNESS, BRKR MOD, NG REACTOR"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955152038</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                0 IN
                                              |  0 CM</div>
<div>
<span>Length:</span>
                                0 IN
                                              |  0 CM</div>
<div>
<span>Width:</span>
                                0 IN
                                              |  0 CM</div>
<div>
<span>Volume:</span>
                                0 FT3
                                              |  0 M3</div>
<div>
<span>Shipping Weight:</span>
                                0 LBS
                                             | 0 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,16U529,"$1,210.00 USD",0,0,$726.00 USD,$726.00 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"HARNESS, BRKR MOD, NG REACTOR","HARNESS, BRKR MOD, NG REACTOR",New,,,,,2
"CABLE, OVER-TEMP, SWITCH SHORT"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955560482</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Country of Origin:</span>
                             US</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                .5 IN
                                              |  1.270 CM</div>
<div>
<span>Length:</span>
                                3 IN
                                              |  7.620 CM</div>
<div>
<span>Width:</span>
                                .5 IN
                                              |  1.270 CM</div>
<div>
<span>Volume:</span>
                                0 FT3
                                              |  0.000 M3</div>
<div>
<span>Shipping Weight:</span>
                                .02 LBS
                                             | 0.009 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,24U109,$184.00 USD,0,0,$110.40 USD,$110.40 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"CABLE, OVER-TEMP, SWITCH SHORT","CABLE, OVER-TEMP, SWITCH SHORT",New,,,,,2
"FITTING,3/4NPT MALE,1BARBED HOSE"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955004009</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Country of Origin:</span>
                              </div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                0 IN
                                              |  0.000 CM</div>
<div>
<span>Length:</span>
                                0 IN
                                              |  0.000 CM</div>
<div>
<span>Width:</span>
                                0 IN
                                              |  0.000 CM</div>
<div>
<span>Volume:</span>
                                0 FT3
                                              |  0.000 M3</div>
<div>
<span>Shipping Weight:</span>
                                0 LBS
                                             | 0.000 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
<div class=""g-classification-block"">
<h2 class=""h5 block-title"">
                            Technical Specifications</h2>
<table class=""specification-list-table table table--convertible table-striped"" id=""table-convertible"">
<tbody>
<tr>
<th class=""list-"" scope=""row"">Connection Type</th>
<td class=""text-align--right"">
<span><strong>Threaded</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">For Use With</th>
<td class=""text-align--right"">
<span><strong>Hose</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Size A (in)</th>
<td class=""text-align--right"">
<span><strong>3/4</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Size A (mm)</th>
<td class=""text-align--right"">
<span><strong>19.05</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Size B (in)</th>
<td class=""text-align--right"">
<span><strong>1</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Size B (mm)</th>
<td class=""text-align--right"">
<span><strong>25.4</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">System of Measurement</th>
<td class=""text-align--right"">
<span><strong>Imperial</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Thread Type</th>
<td class=""text-align--right"">
<span><strong>NPT</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Type</th>
<td class=""text-align--right"">
<span><strong>Adapter</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Style</th>
<td class=""text-align--right"">
<span><strong>Barbed</strong></span>
</td>
</tr>
<tr>
<th class=""list-"" scope=""row"">Thread Gender</th>
<td class=""text-align--right"">
<span><strong>Male</strong></span>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>
</div>",,,125596,$30.80 USD,0,0,$18.48 USD,$18.48 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"FITTING,3/4NPT MALE,1BARBED HOSE","FITTING,3/4NPT MALE,1BARBED HOSE",New,,,,,2
"TIE, CABLE, FIR TREE"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955004351</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Country of Origin:</span>
                             SG</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                .55 IN
                                              |  1.397 CM</div>
<div>
<span>Length:</span>
                                7.8 IN
                                              |  19.812 CM</div>
<div>
<span>Width:</span>
                                1.2 IN
                                              |  3.048 CM</div>
<div>
<span>Volume:</span>
                                .003 FT3
                                              |  0.000 M3</div>
<div>
<span>Shipping Weight:</span>
                                0 LBS
                                             | 0.000 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
<div class=""g-classification-block"">
<h2 class=""h5 block-title"">
                            Technical Specifications</h2>
<table class=""specification-list-table table table--convertible table-striped"" id=""table-convertible"">
<tbody>
<tr>
<th class=""list-"" scope=""row"">Type</th>
<td class=""text-align--right"">
<span><strong>Cable Tie</strong></span>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>
</div>",,,125625,$4.95 USD,0,0,$2.97 USD,$2.97 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"TIE, CABLE, FIR TREE","TIE, CABLE, FIR TREE",New,,,,,2
"GASKET, NEOPRENE"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955004481</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Country of Origin:</span>
                             US</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                0 IN
                                              |  0.000 CM</div>
<div>
<span>Length:</span>
                                0 IN
                                              |  0.000 CM</div>
<div>
<span>Width:</span>
                                0 IN
                                              |  0.000 CM</div>
<div>
<span>Volume:</span>
                                0 FT3
                                              |  0.000 M3</div>
<div>
<span>Shipping Weight:</span>
                                0 LBS
                                             | 0.000 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
<div class=""g-classification-block"">
<h2 class=""h5 block-title"">
                            Technical Specifications</h2>
<table class=""specification-list-table table table--convertible table-striped"" id=""table-convertible"">
<tbody>
<tr>
<th class=""list-"" scope=""row"">Type</th>
<td class=""text-align--right"">
<span><strong>Gasket</strong></span>
</td>
</tr>
</tbody>
</table>
</div>
</div>
</div>
</div>
</div>
</div>",,,125642,$278.50 USD,0,0,$167.10 USD,$167.10 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"GASKET, NEOPRENE","GASKET, NEOPRENE",New,,,,,2
"VALVE, DRAIN"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955052482</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                .7 IN
                                              |  1.778 CM</div>
<div>
<span>Length:</span>
                                5.461 CM
                                              |  2.15 IN</div>
<div>
<span>Width:</span>
                                3.556 CM
                                              |  1.4 IN</div>
<div>
<span>Volume:</span>
                                .001 FT3
                                              |  0 M3</div>
<div>
<span>Shipping Weight:</span>
                                .07 KG
                                             | .16 LBS</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,125649,$51.00 USD,0,0,$30.60 USD,$30.60 USD,0,N,,1,1,1,1,Y,Y,,N,0In,0,8/26/2024,9/26/2024,,,"VALVE, DRAIN","VALVE, DRAIN",New,,,,,2
"ROD,CONNECTING, ON/OFF"," <h2>Specifications</h2> <div class=""specification-content"">
<div>
<span>UPC Product:</span>
                             00633955008540</div>
<div>
<span>Family Code:</span>
                                     FAMFPA</div>
<div>
<span>Unit of Measure:</span>
                             EA</div>
<div>
<span>Height:</span>
                                .762 CM
                                              |  .3 IN</div>
<div>
<span>Length:</span>
                                5.95 IN
                                              |  15.113 CM</div>
<div>
<span>Width:</span>
                                .25 IN
                                              |  .635 CM</div>
<div>
<span>Volume:</span>
                                0 FT3
                                              |  0 M3</div>
<div>
<span>Shipping Weight:</span>
                                .13 LBS
                                             | .06 KG</div>
<div class=""row"">
<div class=""col-md-9 col-lg-6"">
<div class=""product-classifications"">
<div class=""g-prod-classifications-wp"">
</div>
</div>
</div>
</div>
</div>",,,125677,$33.90 USD,0,0,$20.34 USD,$20.34 USD,0,N,,1,1,1,1,Y,Y,,N,39In,0,8/26/2024,9/26/2024,,,"ROD,CONNECTING, ON/OFF","ROD,CONNECTING, ON/OFF",New,,,,,2
